               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.043838,            0.030713,           0.0090392,             0.63912,             0.71143,             0.72988,             0.33469,            0.041109,            0.009589,           0.0026281,             0.00307,             0.00307,             0.00307
                  37,            0.042878,            0.032764,            0.008179,             0.81312,             0.73246,             0.82394,             0.39779,            0.037092,            0.009641,           0.0026717,            0.002872,            0.002872,            0.002872
                  38,            0.042915,            0.033791,             0.00967,             0.88756,             0.75691,             0.86546,              0.3985,            0.033793,            0.009659,           0.0027476,            0.002674,            0.002674,            0.002674
                  39,            0.039468,            0.027127,           0.0085059,             0.83431,             0.73246,             0.83339,             0.44712,             0.04355,           0.0095939,           0.0027954,            0.002476,            0.002476,            0.002476
                  40,            0.039105,            0.031831,            0.008608,             0.89556,             0.74499,             0.84803,             0.40841,            0.036377,           0.0097154,           0.0028346,            0.002278,            0.002278,            0.002278
                  41,            0.037398,            0.028648,           0.0087777,             0.90152,             0.73246,             0.87409,               0.447,            0.034877,           0.0097336,           0.0028777,             0.00208,             0.00208,             0.00208
                  42,            0.040157,            0.032235,           0.0086403,             0.88352,             0.71228,              0.8914,             0.46253,            0.033619,            0.009764,           0.0028873,            0.001882,            0.001882,            0.001882
                  43,             0.03702,            0.034814,            0.010292,             0.86412,             0.70499,             0.89596,             0.47889,            0.033302,           0.0097691,           0.0028348,            0.001684,            0.001684,            0.001684
                  44,             0.03885,            0.029582,           0.0075617,             0.80936,             0.70389,             0.90251,             0.49016,            0.033626,           0.0097575,           0.0028332,            0.001486,            0.001486,            0.001486
                  45,            0.036514,            0.031649,           0.0084329,              0.7665,             0.71801,             0.87655,             0.47664,            0.033458,           0.0097753,           0.0028011,            0.001288,            0.001288,            0.001288
                  46,            0.036346,            0.027605,           0.0061745,              0.8057,             0.73794,             0.90306,             0.47438,             0.03425,           0.0097253,           0.0027272,             0.00109,             0.00109,             0.00109
                  47,             0.03702,            0.031694,            0.013138,             0.80279,             0.74234,             0.88899,             0.46324,            0.033865,           0.0097537,           0.0026871,            0.000892,            0.000892,            0.000892
                  48,            0.038091,            0.029647,           0.0097205,             0.80322,             0.74679,             0.88979,             0.46776,             0.03361,           0.0097334,             0.00266,            0.000694,            0.000694,            0.000694
                  49,            0.037882,            0.028687,           0.0064654,             0.77486,             0.77431,             0.86933,              0.4653,            0.032668,           0.0097737,           0.0026429,            0.000496,            0.000496,            0.000496
